rescue_candidate	mapping_hit	sam_flag	hit_POS_MLprob	candidate_structural_category	rescue_result	exclusion_reason	best_match_for_candidate	best_match_id
PB.45357.1	ENST00000155674.9	256	0.274	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.45357.1	PB.37826.1	256	0.914	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.45357.2	ENST00000336737.8	0	0.94	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.45357.2	PB.30360.2	256	0.99	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.45357.2	PB.88755.1	256	0.922	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.45357.2	ENST00000155674.9	256	0.274	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.45357.2	PB.37826.1	256	0.914	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.60585.3	PB.30360.2	0	0.99	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.60585.3	ENST00000336737.8	256	0.94	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.60585.3	PB.37826.1	256	0.914	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.60585.3	ENST00000155674.9	256	0.274	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.60585.3	PB.124739.1	256	0.774	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.60585.3	PB.88755.1	256	0.922	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.60585.2	ENST00000336737.8	0	0.94	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.60585.2	PB.30360.2	256	0.99	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.60585.2	PB.88755.1	256	0.922	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.60585.2	ENST00000155674.9	256	0.274	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.60585.2	PB.37826.1	256	0.914	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.22970.1	PB.37826.1	0	0.914	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.22970.1	PB.30360.2	256	0.99	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.22970.1	ENST00000336737.8	256	0.94	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.22970.1	ENST00000155674.9	256	0.274	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.45357.3	ENST00000336737.8	0	0.94	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.45357.3	PB.30360.2	256	0.99	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.45357.3	PB.88755.1	256	0.922	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.45357.3	ENST00000155674.9	256	0.274	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.45357.3	PB.37826.1	256	0.914	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.45357.4	PB.30360.2	0	0.99	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.45357.4	ENST00000336737.8	256	0.94	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.45357.4	PB.88755.1	256	0.922	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.45357.4	ENST00000155674.9	256	0.274	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.45357.4	PB.37826.1	256	0.914	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.68185.2	ENST00000336737.8	0	0.94	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.68185.2	PB.30360.2	256	0.99	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.30360.2
PB.68185.2	ENST00000155674.9	256	0.274	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.68185.2	PB.37826.1	256	0.914	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.30360.2
PB.137292.1	PB.88755.1	0	0.922	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.88755.1
PB.75667.1	ENST00000253413.10	0	0.91	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.83098.2
PB.75667.1	ENST00000399796.6	256	0.866	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.83098.2
PB.75667.1	PB.83098.2	256	0.982	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.83098.2
PB.75667.1	ENST00000399798.6	256	0.872	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.83098.2
PB.137294.1	ENST00000618481.4	0	0.382	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.137294.1	ENST00000418951.6	256	0.878	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.137294.1	PB.130819.4	256	0.948	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.137294.1	PB.130819.6	256	0.984	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.137294.1	ENST00000317582.10	256	0.94	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.137294.1	ENST00000611738.4	256	0.382	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.130819.2	PB.130819.6	0	0.984	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.130819.2	ENST00000317582.10	256	0.94	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.130819.2	ENST00000418951.6	256	0.878	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.130819.2	PB.130819.4	256	0.948	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.130819.2	ENST00000543133.5	256	0.862	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.130819.2	PB.137294.5	256	0.928	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.130819.3	ENST00000418951.6	0	0.878	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.130819.3	PB.130819.4	256	0.948	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.130819.3	PB.130819.6	256	0.984	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.130819.3	ENST00000317582.10	256	0.94	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.130819.3	PB.137294.4	256	0.904	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.130819.3	ENST00000543133.5	256	0.862	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.143799.1	ENST00000611738.4	0	0.382	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.143799.1	ENST00000618481.4	256	0.382	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.143799.1	PB.137294.4	256	0.904	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.143799.1	ENST00000418951.6	256	0.878	novel_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.143799.1	PB.130819.4	256	0.948	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.143799.1	PB.130819.6	256	0.984	novel_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.103688.1	ENST00000618481.4	0	0.382	incomplete-splice_match	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.103688.1	ENST00000399782.5	256	0.242	incomplete-splice_match	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.103688.1	PB.96072.1	256	0.978	incomplete-splice_match	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.103688.1	ENST00000493680.5	256	0.916	incomplete-splice_match	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.103688.1	PB.130819.6	256	0.984	incomplete-splice_match	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.103688.1	ENST00000317582.10	256	0.94	incomplete-splice_match	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.137294.3	PB.137294.2	0	0.918	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.137294.3	ENST00000337612.9	256	0.822	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.137294.3	ENST00000543133.5	256	0.862	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.137294.3	PB.130819.4	256	0.948	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.137294.3	PB.137294.5	256	0.928	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.137294.3	PB.130819.6	256	0.984	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.68187.1	PB.130819.6	0	0.984	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.68187.1	PB.96072.1	256	0.978	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.68187.1	PB.137294.4	256	0.904	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.68187.1	ENST00000418951.6	256	0.878	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.68187.1	PB.22971.2	256	0.866	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.68187.1	PB.130819.4	256	0.948	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.30361.1	PB.137294.2	0	0.918	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.4
PB.30361.1	PB.137294.5	256	0.928	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.4
PB.30361.1	PB.22971.2	256	0.866	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.4
PB.30361.1	ENST00000418951.6	256	0.878	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.4
PB.30361.1	ENST00000337612.9	256	0.822	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.4
PB.30361.1	PB.130819.4	256	0.948	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.4
PB.137294.6	PB.130819.6	0	0.984	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.137294.6	ENST00000317582.10	256	0.94	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.137294.6	ENST00000618481.4	256	0.382	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.137294.6	ENST00000418951.6	256	0.878	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.137294.6	PB.130819.4	256	0.948	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.137294.6	ENST00000543133.5	256	0.862	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.30362.1	PB.130819.4	0	0.948	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.30362.1	ENST00000543133.5	256	0.862	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.30362.1	ENST00000418951.6	256	0.878	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.30362.1	PB.130819.6	256	0.984	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.6
PB.30362.1	PB.22972.1	256	NA	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.30362.1	ENST00000355028.4	256	0.888	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.6
PB.157385.1	ENST00000337612.9	0	0.822	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.4
PB.157385.1	ENST00000618481.4	256	0.382	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.4
PB.157385.1	ENST00000317582.10	256	0.94	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.4
PB.157385.1	PB.137294.4	256	0.904	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.4
PB.157385.1	ENST00000355028.4	256	0.888	novel_not_in_catalog	not_rescued	ML_probability	long_read_transcript	PB.130819.4
PB.157385.1	PB.130819.4	256	0.948	novel_not_in_catalog	not_rescued	long_read_transcript	long_read_transcript	PB.130819.4
PB.45360.1	ENST00000622694.5	0	0.89	novel_not_in_catalog	not_rescued	reference_already_present	reference_transcript	ENST00000622694.5
PB.45360.1	ENST00000317361.11	256	0.202	novel_not_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000622694.5
PB.45360.1	ENST00000614949.4	256	0.114	novel_not_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000622694.5
PB.45360.1	ENST00000399765.5	256	0.872	novel_not_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000622694.5
PB.88758.1	ENST00000441493.7	0	0.626	novel_not_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000476405.1
PB.88758.1	ENST00000476405.1	256	0.916	novel_not_in_catalog	not_rescued	reference_already_present	reference_transcript	ENST00000476405.1
PB.88758.1	PB.130821.2	256	0.732	novel_not_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000476405.1
PB.8635.1	ENST00000441493.7	0	0.626	novel_not_in_catalog	not_rescued	ML_probability	unknown	unknown
PB.3799.2	ENST00000414725.6	0	0.456	novel_not_in_catalog	not_rescued	ML_probability	unknown	unknown
PB.75670.1	PB.157386.1	0	0.944	novel_in_catalog	not_rescued	ML_probability	reference_transcript	ENST00000399744.8
PB.75670.1	ENST00000399744.8	256	0.95	novel_in_catalog	not_rescued	reference_already_present	reference_transcript	ENST00000399744.8
PB.150483.1	ENST00000399744.8	0	0.95	novel_not_in_catalog	not_rescued	reference_already_present	reference_transcript	ENST00000399744.8
