isoform	chrom	strand	junction_number	genomic_start_coord	genomic_end_coord	transcript_coord	junction_category	start_site_category	end_site_category	diff_to_Ref_start_site	diff_to_Ref_end_site	bite_junction	splice_site	canonical	RTS_junction	indel_near_junct	phyloP_start	phyloP_end	sample_with_cov	total_coverage	chr13_SR_support.star.SJ.out
PB.3036.2	13	+	junction_10	19666580	19668376	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	199	199
PB.3036.2	13	+	junction_11	19668532	19670235	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	135	135
PB.3036.2	13	+	junction_12	19670364	19671205	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	112	112
PB.3036.2	13	+	junction_13	19671290	19671833	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	126	126
PB.3036.2	13	+	junction_14	19672176	19673020	?????	novel	novel	novel	886	-1187	FALSE	CTCA	non_canonical	FALSE	FALSE	NA	NA	0	0	0
PB.3036.3	13	+	junction_1	19633962	19642114	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	221	221
PB.3036.3	13	+	junction_2	19642271	19646442	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	398	398
PB.3036.3	13	+	junction_3	19647292	19648421	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	245	245
PB.3036.3	13	+	junction_4	19648522	19650002	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	194	194
PB.3036.3	13	+	junction_5	19650261	19658994	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	326	326
PB.3036.3	13	+	junction_6	19659121	19659200	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	276	276
PB.3036.3	13	+	junction_7	19659290	19661697	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	164	164
PB.3036.3	13	+	junction_8	19661839	19663039	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	220	220
PB.3036.3	13	+	junction_9	19663127	19666424	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	272	272
PB.3036.3	13	+	junction_10	19666580	19668376	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	199	199
PB.3036.3	13	+	junction_11	19668532	19670235	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	135	135
PB.3036.3	13	+	junction_12	19670364	19670839	?????	known	known	known	0	0	FALSE	GTAG	canonical	TRUE	FALSE	NA	NA	1	39	39
PB.3036.4	13	+	junction_1	19633962	19642114	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	221	221
PB.3036.4	13	+	junction_2	19642271	19646442	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	398	398
PB.3036.4	13	+	junction_3	19647292	19648421	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	245	245
PB.3036.4	13	+	junction_4	19648522	19650002	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	194	194
PB.3036.4	13	+	junction_5	19650261	19658994	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	326	326
PB.3036.4	13	+	junction_6	19659121	19659200	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	276	276
PB.3036.4	13	+	junction_7	19659290	19661697	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	164	164
PB.3036.4	13	+	junction_8	19661839	19663039	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	220	220
PB.3036.4	13	+	junction_9	19663127	19666424	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	272	272
PB.3036.4	13	+	junction_10	19666580	19668376	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	199	199
PB.3036.4	13	+	junction_11	19668532	19670235	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	135	135
PB.3036.4	13	+	junction_12	19670364	19671205	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	112	112
PB.3036.4	13	+	junction_13	19671290	19671833	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	126	126
PB.3036.5	13	+	junction_1	19633962	19642114	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	221	221
PB.3036.5	13	+	junction_2	19642271	19646442	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	398	398
PB.3036.5	13	+	junction_3	19647292	19648421	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	245	245
PB.3036.5	13	+	junction_4	19648522	19650002	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	194	194
PB.3036.5	13	+	junction_5	19650261	19658994	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	326	326
PB.3036.5	13	+	junction_6	19659121	19659200	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	276	276
PB.3036.5	13	+	junction_7	19659290	19660151	?????	novel	known	novel	0	787	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	12	12
PB.3036.7	13	+	junction_1	19633962	19642114	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	221	221
PB.3036.7	13	+	junction_2	19642271	19646442	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	398	398
PB.3036.7	13	+	junction_3	19647292	19648421	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	245	245
PB.3036.7	13	+	junction_4	19648522	19650002	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	194	194
PB.3036.7	13	+	junction_5	19650261	19658994	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	326	326
PB.3036.7	13	+	junction_6	19659121	19659200	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	276	276
PB.3036.7	13	+	junction_7	19659290	19661697	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	164	164
PB.3036.7	13	+	junction_8	19661839	19663039	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	220	220
PB.3036.7	13	+	junction_9	19663127	19666424	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	272	272
PB.3036.7	13	+	junction_10	19666580	19668376	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	199	199
PB.3036.7	13	+	junction_11	19668532	19670235	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	135	135
PB.3036.7	13	+	junction_12	19670364	19671205	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	112	112
PB.3036.7	13	+	junction_13	19671290	19671833	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	126	126
PB.3036.6	13	+	junction_1	19633962	19642114	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	221	221
PB.3036.6	13	+	junction_2	19642271	19646442	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	398	398
PB.3036.6	13	+	junction_3	19647292	19648421	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	245	245
PB.3036.6	13	+	junction_4	19648522	19650002	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	194	194
PB.3036.6	13	+	junction_5	19650261	19658994	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	326	326
PB.3036.6	13	+	junction_6	19659121	19659200	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	276	276
PB.3036.6	13	+	junction_7	19659290	19661697	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	164	164
PB.3036.6	13	+	junction_8	19661839	19663039	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	220	220
PB.3036.6	13	+	junction_9	19663127	19666424	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	272	272
PB.3036.6	13	+	junction_10	19666580	19668376	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	199	199
PB.3036.6	13	+	junction_11	19668532	19670235	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	135	135
PB.3036.6	13	+	junction_12	19670364	19670839	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	39	39
PB.3036.6	13	+	junction_13	19670965	19671205	?????	known	known	known	0	0	FALSE	GCAG	canonical	FALSE	FALSE	NA	NA	1	8	8
PB.3036.6	13	+	junction_14	19671290	19671833	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	126	126
PB.3037.1	13	-	junction_1	19674985	19677723	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	44	44
PB.3037.1	13	-	junction_2	19677824	19730238	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	74	74
PB.3037.1	13	-	junction_3	19730345	19741564	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	658	658
PB.3037.1	13	-	junction_4	19741650	19751270	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	786	786
PB.3037.1	13	-	junction_5	19751468	19759322	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	630	630
PB.3037.1	13	-	junction_6	19759419	19772241	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	493	493
PB.3037.1	13	-	junction_7	19772544	19782385	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	299	299
PB.3037.2	13	-	junction_1	19675654	19677723	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	26	26
PB.3037.2	13	-	junction_2	19677824	19730238	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	74	74
PB.3037.2	13	-	junction_3	19730345	19741564	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	658	658
PB.3037.2	13	-	junction_4	19741650	19751270	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	786	786
PB.3037.2	13	-	junction_5	19751468	19759322	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	630	630
PB.3037.2	13	-	junction_6	19759419	19772241	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	493	493
PB.3037.2	13	-	junction_7	19772544	19782385	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	299	299
PB.3037.3	13	-	junction_1	19675654	19677723	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	26	26
PB.3037.3	13	-	junction_2	19677824	19730238	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	74	74
PB.3037.3	13	-	junction_3	19730345	19741564	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	658	658
PB.3037.3	13	-	junction_4	19741650	19751270	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	786	786
PB.3037.3	13	-	junction_5	19751468	19759322	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	630	630
PB.3037.3	13	-	junction_6	19759419	19772241	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	493	493
PB.3037.3	13	-	junction_7	19772544	19782385	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	299	299
PB.3037.6	13	-	junction_1	19703361	19705661	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	549	549
PB.3037.6	13	-	junction_2	19705832	19709541	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	504	504
PB.3037.6	13	-	junction_3	19709600	19730238	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	384	384
PB.3037.6	13	-	junction_4	19730345	19741564	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	658	658
PB.3037.6	13	-	junction_5	19741650	19751270	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	786	786
PB.3037.6	13	-	junction_6	19751468	19759322	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	630	630
PB.3037.6	13	-	junction_7	19759419	19772241	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	493	493
PB.3037.6	13	-	junction_8	19772544	19782385	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	299	299
PB.3037.6	13	-	junction_9	19782792	19782916	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	3	3
PB.3037.7	13	-	junction_1	19703361	19705661	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	549	549
PB.3037.7	13	-	junction_2	19705832	19709541	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	504	504
PB.3037.7	13	-	junction_3	19709600	19730238	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	384	384
PB.3037.7	13	-	junction_4	19730345	19740217	?????	novel	known	novel	0	1347	FALSE	GCAG	canonical	FALSE	FALSE	NA	NA	1	4	4
PB.3037.7	13	-	junction_5	19740341	19741564	?????	novel	novel	known	-1309	0	TRUE	GTAG	canonical	FALSE	FALSE	NA	NA	1	6	6
PB.3037.7	13	-	junction_6	19741650	19751270	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	786	786
PB.3037.7	13	-	junction_7	19751468	19759322	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	630	630
PB.3037.7	13	-	junction_8	19759419	19772241	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	493	493
PB.3037.7	13	-	junction_9	19772544	19782385	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	299	299
PB.3037.8	13	-	junction_1	19703361	19705661	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	549	549
PB.3037.8	13	-	junction_2	19705832	19706857	?????	novel	known	novel	0	-1196	TRUE	GTAG	canonical	FALSE	FALSE	NA	NA	1	8	8
PB.3037.8	13	-	junction_3	19706906	19709541	?????	novel	novel	known	1074	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	7	7
PB.3037.8	13	-	junction_4	19709600	19730238	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	384	384
PB.3037.8	13	-	junction_5	19730345	19741564	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	658	658
PB.3037.8	13	-	junction_6	19741650	19751270	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	786	786
PB.3037.8	13	-	junction_7	19751468	19759322	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	630	630
PB.3037.8	13	-	junction_8	19759419	19772241	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	493	493
PB.3037.8	13	-	junction_9	19772544	19782385	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	299	299
PB.3038.1	13	-	junction_1	19825236	19835476	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	105	105
PB.3038.1	13	-	junction_2	19835690	19837655	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	66	66
PB.3038.1	13	-	junction_3	19837822	19838699	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	144	144
PB.3038.1	13	-	junction_4	19838986	19851354	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	205	205
PB.3038.1	13	-	junction_5	19851449	19851688	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	174	174
PB.3038.1	13	-	junction_6	19852191	19862398	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	339	339
PB.3038.1	13	-	junction_7	19862467	19863449	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	280	280
PB.3038.2	13	-	junction_1	19825236	19835476	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	105	105
PB.3038.2	13	-	junction_2	19835690	19851688	?????	novel	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	1	1
PB.3038.2	13	-	junction_3	19852191	19862398	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	339	339
PB.3038.2	13	-	junction_4	19862467	19863449	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	280	280
PB.3038.3	13	-	junction_1	19825236	19835476	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	105	105
PB.3038.3	13	-	junction_2	19835690	19837655	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	66	66
PB.3038.3	13	-	junction_3	19837822	19838699	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	144	144
PB.3038.3	13	-	junction_4	19838986	19851354	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	205	205
PB.3038.3	13	-	junction_5	19851449	19851688	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	174	174
PB.3038.3	13	-	junction_6	19852191	19862398	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	339	339
PB.3038.3	13	-	junction_7	19862467	19863449	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	280	280
PB.3038.4	13	-	junction_1	19825236	19835476	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	105	105
PB.3038.4	13	-	junction_2	19835690	19837655	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	66	66
PB.3038.4	13	-	junction_3	19837822	19838699	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	144	144
PB.3038.4	13	-	junction_4	19838986	19851354	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	205	205
PB.3038.4	13	-	junction_5	19851449	19851688	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	174	174
PB.3038.4	13	-	junction_6	19852191	19862398	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	339	339
PB.3038.4	13	-	junction_7	19862467	19863449	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	280	280
PB.3038.5	13	-	junction_1	19825236	19835476	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	105	105
PB.3038.5	13	-	junction_2	19835690	19837655	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	66	66
PB.3038.5	13	-	junction_3	19837822	19838699	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	144	144
PB.3038.5	13	-	junction_4	19838986	19851354	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	205	205
PB.3038.5	13	-	junction_5	19851449	19851688	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	174	174
PB.3038.5	13	-	junction_6	19852191	19862398	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	339	339
PB.3038.5	13	-	junction_7	19862467	19863449	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	280	280
PB.3038.6	13	-	junction_1	19835690	19837655	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	66	66
PB.3038.6	13	-	junction_2	19837822	19838699	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	144	144
PB.3038.6	13	-	junction_3	19838986	19851354	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	205	205
PB.3038.6	13	-	junction_4	19851449	19851688	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	174	174
PB.3038.6	13	-	junction_5	19852191	19862398	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	339	339
PB.3038.6	13	-	junction_6	19862467	19863449	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	280	280
PB.3040.1	13	+	junction_1	19958842	19959957	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	90	90
PB.3040.1	13	+	junction_2	19960027	19993062	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	157	157
PB.3040.1	13	+	junction_3	19993920	20002849	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	271	271
PB.3040.1	13	+	junction_4	20003136	20005073	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	172	172
PB.3040.1	13	+	junction_5	20005240	20006373	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	175	175
PB.3040.1	13	+	junction_6	20006587	20019546	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	310	310
PB.3040.1	13	+	junction_7	20019619	20026611	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	261	261
PB.3040.1	13	+	junction_8	20026763	20027202	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	242	242
PB.3040.1	13	+	junction_9	20027319	20031318	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	214	214
PB.3040.1	13	+	junction_10	20031436	20034253	?????	known	known	known	0	0	FALSE	GCAG	canonical	FALSE	FALSE	NA	NA	1	244	244
PB.3040.1	13	+	junction_11	20034405	20036736	?????	known	known	known	0	0	FALSE	GCAG	canonical	FALSE	FALSE	NA	NA	1	208	208
PB.3040.1	13	+	junction_12	20036910	20051432	?????	known	known	known	0	0	FALSE	GCAG	canonical	FALSE	FALSE	NA	NA	1	254	254
PB.3040.1	13	+	junction_13	20051599	20052276	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	229	229
PB.3040.1	13	+	junction_14	20052312	20058574	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	218	218
PB.3040.1	13	+	junction_15	20058705	20059446	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	318	318
PB.3040.1	13	+	junction_16	20059563	20061052	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	257	257
PB.3040.1	13	+	junction_17	20061225	20062845	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	204	204
PB.3040.1	13	+	junction_18	20062972	20064450	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	205	205
PB.3040.1	13	+	junction_19	20064546	20066850	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	239	239
PB.3040.1	13	+	junction_20	20067020	20067238	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	188	188
PB.3040.1	13	+	junction_21	20067391	20082015	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	196	196
PB.3040.1	13	+	junction_22	20082131	20082780	?????	known	known	known	0	0	FALSE	GTAG	canonical	FALSE	FALSE	NA	NA	1	313	313
